,Latin,Basodino
0,/ˈa.bae̯/,ab
1,/ˈa.ba.leː/,abal
2,/aˈbal.la.ba/,aballabe
3,/aˈbal.la.u̯a/,aballabe
4,/aˈba.mi.ta/,abamte
5,,
6,/aˈba.u̯i.a/,abaibje
7,/abˈbaː.ti.a/,appaisce
8,/ab.baːˈtis.sa/,appacesse
9,/ˈab.bi.a/,aippje
10,/ab.bre.vi.aˈtu.ra/,abbreviaçûre
11,/ˈab.da.ra/,abdare
12,/abˈdeː.ra/,abdîre
13,/ab.deːˈriː.teːs/,abdereisz
14,/ˈab.du.a/,abdue
15,/a.be.t͡ʃeˈda.ri.a/,abecedairje
16,/aˈbel.la/,abelle
17,/a.belˈlaː.na/,abellane
18,/a.beˈoː.na/,aibjûne
19,/aːˈbiː.a/,abeie
20,/aˈbi.as/,aibjas
21,/ˈa.bi.ɡa/,abɡe
22,/ˈa.bi.la/,able
23,/aˈblep.si.a/,ablepsje
24,/ab.maːˈter.te.ra/,abmacertre
25,/ˈa.bo.a/,aboe
26,/a.boˈbriː.ɡa/,abobreiɡe
27,/aˈbol.la/,abolle
28,/ˈa.bra/,abre
29,/ˈaː.bra.haːm/,abram
30,,
31,/abˈskon.sa/,abscose
32,/abˈsen.ti.a/,absencje
33,/ab.sinˈtʰiː.teːs/,absenceisz
34,/abˈstan.ti.aː/,abstaincje
35,/ab.stiˈnen.ti.a/,abstenencje
36,/ab.synˈtʰiː.teːs/,absynceisz
37,/ˈab.sy.ra/,absre
38,,
39,,
40,,
41,/a.bunˈdan.ti.a/,abondaincje
42,/aˈbu.si.na/,abûsne
43,/aˈbu.tu.ka/,abûtque
44,/ˈa.by.la/,able
45,/ˈab.zo.ae̯/,abzo
46,/aˈkaː.ki.a/,achaice
